Full name:;Short name;Headquarters;Description;Founded;Cellular Networks Installed;Supported Cellular Data Links;Cellular Network Operator;Covered Countries;Covered Regions
Orange Romania;Orange RO;Bucharest;Subsidiary of Orange S.A.;1997;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , TD-LTE 2300 MHz (Band XL) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) , LTE 750 Mbps / 225 Mbps (LTE Cat. 15) data links;No;Romania covered;
Orange Spain;Orange ES;Madrid;Orange Espagne S.A.U., previously Amena;2006;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , TD-LTE 2300 MHz (Band XL) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 750 Mbps / 225 Mbps (LTE Cat. 15) data links;No;Spain covered;
Orange Slovakia;Orange SK;Bratislava;Orange Slovensko, a.s.;1997;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Slovakia covered;
Telia Finland;Telia FI;Helsinki;2nd largest mobile operator in Finland. Formerly Sonera / Tele Finland;1998;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , LTE 700 MHz (Band 28) , TD-LTE 3500 MHz (Band XLII) , TD-NR 3500 MHz (N78) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Finland covered;
Free Mobile FR;Free FR;Paris;;2007;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 700 MHz (Band 28) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;France covered;
Bouygues Telecom;Bouygues;Paris;;1994;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , LTE 700 MHz (Band 28) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) data links;No;France covered;
Telia Norway;Telia NO;Oslo;Telia Norge AS, formerly NetCom AS;1993;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Norway covered;
Vodafone Netherlands;Vodafone NL;Maastricht;Vodafone Libertel B.V., formerly Libertel;1995;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Netherlands covered;
T-Mobile Nederland;T-Mobile NL;Hague;T-Mobile Nederland BV is fully owned subsidiary of Deutsche Telekom;2007;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 900 MHz (Band 8) , TD-LTE 2600 MHz (Band 38) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) data links;No;Netherlands covered;
KPN Mobile;KPN;Hague;Koninklijke KPN N.V / Royal KPN N.V;1989;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) data links;No;Netherlands covered;
Polkomtel Plus;Polkomtel;Warsaw;Polkomtel sp. z o.o. is privately owned mobile phone network operator in Poland;1995;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , TD-LTE 2600 MHz (Band 38) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) data links;No;Poland covered;
Movistar Chile;Movistar CL;Santiago;Telefónica Chile S.A Subsidiary of Telefónica S.A.;1970;GSM 1900MHz (PCS, B2) , UMTS 850MHz (Band V, CLR) , LTE 2600 MHz (Band 7) , LTE 700 MHz (Band 28) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Chile covered;
Claro Argentina;Claro AR;Buenos Aires;Claro AMX Argentina SA (formerly CTI Móvil) is the subsidiary of América Móvil;2008;GSM 1900MHz (PCS, B2) , UMTS 1900MHz (Band II, PCS) , UMTS 850MHz (Band V, CLR) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 700 MHz (Band 28) networks;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Argentina covered;
Safaricom Limited;Safaricom;Nairobi;;1997;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Kenya covered;
WIND Hellas;Wind GR;Marousi;Also known as TELESTET Hellas, TIM Hellas and Wind Greece.;1992;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Greece covered;
Sunrise Communications AG;Sunrise;Zurich;The second largest telecommunications service provider of Switzerland;2000;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , TD-NR 3500 MHz (N78) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Switzerland covered;
Base Belgium;BASE;Brussels;Formerly KPN Orange. Subsidiary of Telenet;1999;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Belgium covered;
Orange Belgium;Orange BE;Brussels;Formerly Mobistar. Subsidiary of Orange S.A. (France);1996;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Belgium covered;
Wind Tre Italia;Wind Tre;Rome;Joint venture between the CK Hutchison and Wind Telecomunicazioni S.p.A (3 Italia).;2016;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Italy covered;
Vodafone Czech Republic;Vodafone CZ;Prague;Subsidiary of Vodafone Plc;1982;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , NR 1800 MHz (N3) , TD-NR 3500 MHz (N78) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;Czech Republic covered;
T-Mobile Czech Republic;T-Mobile CZ;Prague;The largest cellular operator of Czech Republic;1996;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 225 Mbps / 50 Mbps data links;No;Czech Republic covered;
O2 Czech Republic;O2 CZ;Prague;O2 CR. Formerly Eurotel;2006;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , CDMA 450MHz (BC5) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , TD-LTE 3700 MHz (Band XLIII) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Czech Republic covered;
DNA Oyj;DNA;Helsinki;DNA telecommunications company is one of the three main cellular network operators in Finland;2000;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Finland covered;
Turk Telekom;TTKOM;Ankara;;1995;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Turkey covered;
Vodafone Turkey;Vodafone TR;Istanbul;Vodafone Türkiye. Previously Telsim.;1994;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 900 MHz (Band 8) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Turkey covered;
Turkcell;TCELL TR;Istanbul;Largest cellular operator of Turkey;1994;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Turkey covered;
Republic Wireless;RW;Raleigh, North Carolina;Mobile virtual network operator;2010;;No;T-Mobile USA;USA covered;
Bharti Airtel Limited India;Airtel IN;New Delhi;;1995;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;India covered;
Vodafone India;Vodafone IN;Mumbai;Subsidiary of Vodafone Vodafone Group plc (UK);1994;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;India covered;
Reliance Jio Infocomm;Jio;Navi Mumbai;Reliance Jio Infocomm Limited is a wholly owned subsidiary of Reliance Industries;2007;LTE 1800 MHz (Band 3) , LTE 850 MHz (Band 5) , TD-LTE 2300 MHz (Band XL) networks;LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;Reliance Communications;India covered;
Asia Pacific Telecom;APT;Taipei;Asia Pacific, founded in 2000, was formed by the parent company, Asia Pacific Broadband Telecom Co., Ltd. (originally named Eastern Broadband Telecommunications Co., Ltd) consolidating the subsidiaries;2000;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 700 MHz (Band 28) , TD-NR 3500 MHz (N78) , TD-NR 28 GHz (N257) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , NR 1.5 Gbps , NR 2.6 Gbps , NR 3.7 Gbps data links;No;Taiwan covered;
Movistar Spain;Movistar ES;Madrid;Movistar is endorsed by Telefónica as the corporate brand in all its communications with customers.;1995;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 800 MHz (Band 20) , TD-NR 3500 MHz (N78) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 2 Gbps / 300 Mbps (LTE Cat. 20) data links;No;Spain covered;
